,name,addr,letter,deputy,punish,law,genre,genre2,basis,subtance,gear,date,time,status
0,重庆市黔江区依蝶商贸有限公司,"重庆市黔江区新华西路,18,号",91500114774871838M	,夏鹏,"国统执罚决字〔,2020,〕第,7,号",提供不真实统计资料,警告,罚款,"《中华人民共和国统计法》第四十一条第一款第（二,),项、第二款和《中华人民共和国统计法实施条例》第五十条第（三）项","警告并处罚款,110000,元",国家统计局,2020119,20201192021118	,正常
1,重庆京宏源铝业有限公司,重庆市正阳工业园区青杠片区二台,91500114MA5U36X733	,李大诚,"国统执罚决字〔,2020,〕第,6,号",提供不真实统计资料,警告,罚款,"《中华人民共和国统计法》第四十一条第一款第（二,),项、第二款和《中华人民共和国统计法实施条例》第五十条第（三）项","警告并处罚款,130000,元",国家统计局,2020119,20201192021118	,正常
2,重庆市黔江区郑好商贸有限公司,"重庆市黔江区城西街道新华大道中段平安路,121,号",91500114MA5U6ELJ3C	,陈慧玲,"国统执罚决字〔,2020,〕第,5,号",提供不真实统计资料,警告,罚款,"《中华人民共和国统计法》第四十一条第一款第（二,),项、第二款和《中华人民共和国统计法实施条例》第五十条第（三）项","警告并处罚款,110000,元",国家统计局,2020119,20201192021118	,正常
3,重庆市征程贸易有限公司,"重庆市黔江区解放路,435,号",915001146733757632	,杨长远,"国统执罚决字〔,2020,〕第,4,号",提供不真实统计资料,警告,罚款,"《中华人民共和国统计法》第四十一条第一款第（二,),项、第二款和《中华人民共和国统计法实施条例》第五十条第（三）项","警告并处罚款,120000,元",国家统计局,2020119,20201192021118	,正常
4,重庆武陵山佳惠百货有限责任公司,重庆市黔江区解放路大十字购物广场,915001140788226109	,汤爱华,"国统执罚决字〔,2020,〕第,3,号",提供不真实统计资料,警告,罚款,"《中华人民共和国统计法》第四十一条第一款第（二,),项、第二款和《中华人民共和国统计法实施条例》第五十条第（三）项","警告并处罚款,125000,元",国家统计局,2020119,20201192021118	,正常
5,钟山县超凡商贸有限责任公司,"钟山县城中路,16,号",914511226976352322	,莫敬麟,"桂统罚字〔,2019,〕,61,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,50000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
6,宁明县银丰贸易有限公司,"宁明县爱店镇正街,167,号",91451422099705173N	,郭季陇,"桂统罚字〔,2019,〕,60,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,60000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
7,钟山县途锐达汽车销售服务有限公司,"钟山县西路,175,号",914511220617126930	,卿昌林,"桂统罚字〔,2019,〕,59,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,60000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
8,广西钟山县飞翼汽车销售有限公司,钟山县城北环西路南侧（旺峰学校旁谭坚私房）,91451122561585256X	,谭坚,"桂统罚字〔,2019,〕,58,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,70000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
9,宁明县常丰贸易有限公司,"宁明县爱店镇正街,167,号",91451422MA5KDJEE0P	,钟瑞连,"桂统罚字〔,2019,〕,57,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,80000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
10,钟山县弘福汽车销售有限公司,钟山县城北环路南侧,914511225998177966	,龙昌秋,"桂统罚字〔,2019,〕,56,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,80000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
11,宁明县瑞兴贸易有限公司,"宁明县爱店镇正街,98,号",914514225594021587	,郭季陇,"桂统罚字〔,2019,〕,55,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"警告并处罚款,150000,元",广西壮族自治区统计局,20191216,2019121620201215	,正常
12,安徽昶源新材料股份有限公司,蚌埠市固镇经济开发区经三路西纬八路北,91340300MA2MYP4T73	,王宇飞,"皖统罚决字〔,2019,〕,46,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,95000,元",安徽省统计局,20191112,2019111220201111	,正常
13,安徽鑫泰玻璃科技有限公司,"蚌埠市淮上区金潼路,5,号",91340300568991951X	,葛利贵,"皖统罚决字〔,2019,〕,45,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,50000,元",安徽省统计局,20191112,2019111220201111	,正常
14,安徽五环开关有限公司,"蚌埠市淮上区龙华路,1578,号",91340300MA2MUA2B4R	,林爱忠,"皖统罚决字〔,2019,〕,44,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,55000,元",安徽省统计局,20191112,2019111220201111	,正常
15,安徽新知科技有限公司,"蚌埠市淮上区淮海路,333,号",91340300348721554A	,徐善霞,"皖统罚决字〔,2019,〕,42,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,85000,元",安徽省统计局,20191112,2019111220201111	,正常
16,蚌埠瑞利丰滤清器有限公司,"蚌埠市固镇县经济开发区纬四路,1,号",913403236694513721	,姜刚海,"皖统罚决字〔,2019,〕,41,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,90000,元",安徽省统计局,20191112,2019111220201111	,正常
17,,,	,,,,,,,,,,	,
18,安徽蚌埠市三和纸箱机械有限公司,"蚌埠市兴华路,617,号",913403005518480755	,年福东,"皖统罚决字〔,2019,〕,38,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,150000,元",安徽省统计局,20191112,2019111220201111	,正常
