,name,addr,letter,deputy,punish,law,genre,genre2,basis,subtance,gear,date,time,status
0,红河聚泰矿业有限公司,云南省红河州建水县普雄乡七棵树村委会落水洞村,91532524086365157D	,刘正军,"国统执罚决字〔,2019,〕第,405,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,138000,元",国家统计局,2019125,20191252020124	,正常
1,建水陶园三杰紫陶文化有限公司,云南省红河州建水县临安镇马军村委会山塘边（建亚冷库内）,91532524054672435D	,张健,"国统执罚决字〔,2019,〕第,404,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,115000,元",国家统计局,2019125,20191252020124	,正常
2,红河火宝文化产业有限公司,"云南省红河哈尼族彝族自治州建水县临安镇福康路,33,号福润街,P2,幢,13,号,205,室",915325245577667403	,李春光,"国统执罚决字〔,2019,〕第,403,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,200000,元",国家统计局,2019125,20191252020124	,正常
3,泸西县扩铂贵金属有限公司,云南省红河州泸西县工业园无浪重化工片区,91532527323111936B	,袁建良,"国统执罚决字〔,2019,〕第,402,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,125000,元",国家统计局,2019125,20191252020124	,正常
4,云南泸西县龙威农业发展有限责任公司,云南省红河哈尼族彝族自治州泸西县白水镇卫民村,91532527690891559X	,李永贵,"国统执罚决字〔,2019,〕第,401,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,120000,元",国家统计局,2019125,20191252020124	,正常
5,云南宏升蔬菜种植发展有限责任公司,云南省红河州泸西县中枢镇逸圃村,91532527064292452Q	,罗培鑫,"国统执罚决字〔,2019,〕第,400,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,140000,元",国家统计局,2019125,20191252020124	,正常
6,兰州双信塑料橡胶厂,"甘肃省兰州市城关区青白石街道白道坪工业园,99,号",91620102224446319C	,张吉祥,"甘统行决字〔,2019,〕,34,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款壹拾贰万元整,甘肃省统计局,201985,20198122020811	,正常
7,兰州世纪鑫源实业有限公司,"甘肃省兰州市西固区环行西路,6,号",9162010055129480XH	,李建凡,"甘统行决字〔,2019,〕,3,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款陆万元整,甘肃省统计局,201985,201989202088	,正常
8,兰州银大百货有限公司,"甘肃省兰州市西固区西固城街道西固中街,25,号",91620104778895941B	,徐文培,"甘统行决字〔,2019,〕,2,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款壹拾万元整,甘肃省统计局,201985,201988202087	,正常
9,甘肃建投建材有限公司,"甘肃省兰州市西固区环行中路,163,号",916200002243705883	,饶益杰,"甘统行决字〔,2019,〕,1,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款捌万元整,甘肃省统计局,201985,201988202087	,正常
10,大安市北方石油销售有限公司,吉林省白城市大安市古城乡长庆村公路西侧,912208823399849340	,任立国,"吉统罚决字〔,2019,〕第,128,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019613,20196132020612	,正常
11,大安市洵佶粮贸有限责任公司,吉林省白城市大安市两家子镇同庆村东港屯,91220882097005886M	,修艳辉,"吉统罚决字〔,2019,〕第,127,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019613,20196132020612	,正常
12,长春市德益食品有限公司,长春市绿园区合心镇三间村东伊通河屯,91220106L481462399	,张德林,"吉统罚决字〔,2019,〕第,27,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019524,20195242020523	,正常
13,广西海天建设工程有限责任公司,"灵山县灵城镇七星路,22,号",91450721564018644N	,姚能振,"桂统罚字〔,2019,〕,3,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"责令改正，给予警告，在全区范围内予以通报，并处,100000,元罚款。",广西壮族自治区统计局,2019829,20198292020828	,正常
14,白城市蓝琦米业有限公司,"白城市沙坑北路,181,号",91220802744588978P	,齐永海,"国统执罚决字〔,2019,〕第,283,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾万元,国家统计局,201996,201996202095	,正常
15,白城艾高食品有限公司,白城市洮北区平安镇新合村,91220802584616385W	,田延灼,"国统执罚决字〔,2019,〕第,281,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万伍千元,国家统计局,201996,201996202095	,正常
16,通榆县新双杰果品有限公司,吉林省通榆县开通镇繁荣街富强路（医药大楼）,91220822077098405X	,庞秀纯,"国统执罚决字〔,2019,〕第,299,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款拾壹万伍千元,国家统计局,201996,201996202095	,正常
17,铜陵金蜗牛艺术品有限公司,"安徽省铜陵市铜陵开发区泰山大道南段,666,号",91340700771149073K(11)	,吴伟,"国统执罚决字〔,2019,〕第,310,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处壹拾壹万元,国家统计局,201996,201996202095	,正常
18,安徽中熹通讯科技有限责任公司,安徽省铜陵市狮子山经济开发区,9134070058610946J(11)	,周铮,"国统执罚决字〔,2019,〕第,309,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万元,国家统计局,201996,201996202095	,正常
19,铜陵市新洲电子科技有限责任公司,安徽省铜陵市狮子山区经济开发区,91340700590194633B(11)	,程新亚,"国统执罚决字〔,2019,〕第,306,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万元,国家统计局,201996,201996202095	,正常
20,安徽永信木业有限公司,铜陵县钟鸣镇金桥村,91340764698984127T(11)	,陈道信,"国统执罚决字〔,2019,〕第,305,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万元,国家统计局,201996,201996202095	,正常
21,枞阳县会宫乡栏桥建筑石料厂,安徽省铜陵市枞阳县会宫镇栏桥村,913407627529572788(11)	,鲍棉华,"国统执罚决字〔,2019,〕第,301,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾叁万元,国家统计局,201996,201996202095	,正常
22,合肥兴盈电气技术有限公司,"肥东经济开发区合店路,19,号",91340122746768980U(11)	,程雪茶,"国统执罚决字〔,2019,〕第,313,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处壹拾叁万元,国家统计局,201996,201996202095	,正常
23,合肥市东兴厨具用品有限公司,安徽省合肥市肥东县龙塘,91340122756825483Q(11)	,胡少东,"国统执罚决字〔,2019,〕第,319,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾贰万元,国家统计局,201996,201996202095	,正常
24,合肥佳丰锻造有限责任公司,安徽省合肥市肥东县撮镇镇建华社区,91340122610307317H(11)	,王爱军,"国统执罚决字〔,2019,〕第,318,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾贰万元,国家统计局,201996,201996202095	,正常
25,合肥彩虹绣品有限公司,安徽省合肥市肥东经济开发区桂王路、团结路南,91340122MA2MXW8X91(11)	,刘洪春,"国统执罚决字〔,2019,〕第,317,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾肆万元,国家统计局,201996,201996202095	,正常
26,安徽省文一建材有限公司,肥东经济开发区龙城路南侧,91340122783057504X(11)	,罗其芳,"国统执罚决字〔,2019,〕第,316,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾肆万元,国家统计局,201996,201996202095	,正常
27,安徽省肥东县琥珀日荣办公家俱有限公司,安徽省合肥市肥东县新城开发区,913401227950641387(11)	,王强,"国统执罚决字〔,2019,〕第,312,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾贰万元,国家统计局,201996,201996202095	,正常
28,浏阳市有色金属粉末制造厂,浏阳市关口办事处升平村,91430181732865181L	,邱为民,"国统执罚决字〔,2019,〕第,180,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处壹拾万元罚款,国家统计局,2019611,20196112020610	,正常
29,长沙大海水箱有限公司,长沙县安沙镇毛塘工业小区,91430121066389397M	,吕日海,"国统执罚决字〔,2019,〕第,342,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款柒万元,国家统计局,201996,201996202095	,正常
30,长沙隆泰微波热工有限公司,长沙高新技术产业开发区隆平高科技园管委会大楼,91430100740614374G	,谭光祥,"国统执罚决字〔,2019,〕第,198,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款贰拾万元罚款,国家统计局,2019611,20196112020610	,正常
31,湖南新兴电器控制设备有限公司,"长沙市天心区大托镇新路村长沙天心工业园区新岭路,88,号",91430100184039072A	,谭亮,"国统执罚决字〔,2019,〕第,270,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款贰拾万元,国家统计局,2019611,20196112020610	,正常
32,长沙飞达矿冶技术有限公司,"长沙市开福区捞刀河镇茶子山村田屋场组,581,号,1,栋",91430105597596563Q	,周键鑫,"国统执罚决字〔,2019,〕第,151,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款贰拾万元,国家统计局,2019611,20196112020610	,正常
33,长沙中煌混凝土有限公司,长沙市天心区新天村村部二楼,91430100758025674L	,谭志雄,"国统执罚决字〔,2019,〕第,330,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾叁万元,国家统计局,201996,201996202095	,正常
34,湖南友文食品有限责任公司,"湖南省长沙天心区暮云工业园伊莱克斯大道,20,号",91430103776799024W	,毛爱华,"国统执罚决字〔,2019,〕第,329,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款贰拾万元,国家统计局,201996,201996202095	,正常
35,湖南铃本环保科技有限公司,湖南省长沙市天心区暮云工业园,91430103785357762F	,蒋立志,"国统执罚决字〔,2019,〕第,327,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾捌万元,国家统计局,201996,201996202095	,正常
36,湖南奇志食品发展有限公司,"长沙市天心区新开铺路,960,号,66,栋",91430103557633016R	,王奇志,"国统执罚决字〔,2019,〕第,160,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款贰拾万元,国家统计局,201996,201996202095	,正常
37,长沙通发通用机械有限公司,长沙市开福区捞刀河镇大明工业园内,914301056735589301	,闫昊,"国统执罚决字〔,2019,〕第,155,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾捌万元,国家统计局,201996,201996202095	,正常
38,长沙大枫彩色包装有限公司,"湖南省长沙市宁乡县双江口镇罗巷新村罗巷组,28,号",91430100763263204F	,胡自良,"国统执罚决字〔,2019,〕第,353,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾伍万伍仟元,国家统计局,201996,201996202095	,正常
39,湖南三星机床有限公司,宁乡县经开区二环东路谐园路（城郊纸业园）,91430100743151395L	,姜四清,"国统执罚决字〔,2019,〕第,350,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾贰万元,国家统计局,201996,201996202095	,正常
40,惠民县龙岩化纤制品有限责任公司,惠民县辛店乡佟营村,91371621780782524N	,张立良,"鲁统执罚定字〔,2019,〕,106,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并处罚款,130000,元",山东省统计局,2019423,20194232020422	,正常
41,山东哈沃电机科技有限公司,滨州市惠民县辛店工业园,913716000699794486	,李忠庆,"鲁统执罚定字〔,2019,〕,107,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并处罚款,80000,元",山东省统计局,2019423,20194232020422	,正常
42,惠民县爱依蓝服装有限公司,惠民县辛店镇后常村,913716210619743198	,王泽海,"鲁统执罚定字〔,2019,〕,108,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并处罚款,70000,元",山东省统计局,2019423,20194232020422	,正常
43,滨州博而特电机有限公司,滨州市惠民县辛店开发区,91371621593616803L	,任惠生,"鲁统执罚定字〔,2019,〕,109,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并处罚款,40000,元",山东省统计局,2019423,20194232020422	,正常
44,辽宁天巳历史博物馆,"大连市甘井子区华北路北市商贸街,158,号",522102006870629959	,金成琴,"（辽）统法罚字〔,2019,〕第,1,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款,"警告并罚款,30000,元",辽宁省统计局,20190613,2019061320200612	,正常
